DATE;TRIES;SECONDS
2022-09-22 10:45:15;3;12
2022-09-22 10:45:23;2;7
2022-09-22 10:45:30;2;7
2022-09-22 10:46:54;3;11
2022-09-22 10:48:34;4;16
2022-09-22 10:48:40;2;6
2022-09-22 10:48:52;3;11
2022-09-22 10:48:53;3;11
2022-09-22 10:59:02;3;11
2022-09-22 11:00:35;7;33
2022-09-22 11:00:43;2;8
2022-09-22 11:03:13;2;8
2022-09-22 11:03:20;2;7
2022-09-22 11:03:34;3;13
2022-09-22 11:03:45;3;11
2022-09-22 11:06:16;4;17
2022-09-22 11:06:46;2;6
2022-09-22 11:10:18;2;8
2022-09-22 11:14:43;6;26
2022-09-22 11:14:49;2;6
2022-09-22 11:15:01;3;10
2022-09-22 11:16:47;3;11
2022-09-22 11:16:57;3;10
2022-09-22 11:17:09;5;22
2022-09-22 11:17:11;3;12
2022-09-22 11:17:18;2;7
2022-09-22 11:26:23;2;6
2022-09-22 11:36:56;2;6
2022-09-22 11:41:27;4;16
2022-09-22 11:41:48;5;21
2022-09-22 11:44:27;5;22
2022-09-22 11:44:35;2;8
2022-09-22 11:44:49;3;12
2022-09-22 11:46:32;4;17
2022-09-22 11:47:45;3;12
2022-09-22 11:47:53;2;6
2022-09-22 11:51:02;4;16
2022-09-22 11:51:11;2;6
2022-09-22 11:51:18;2;6
2022-09-22 11:51:19;2;6
2022-09-22 11:51:24;2;6
2022-09-22 11:57:17;2;6
2022-09-22 12:00:13;3;11
2022-09-22 12:00:24;3;11
2022-09-22 12:01:04;3;11
2022-09-22 12:01:17;2;6
2022-09-22 12:02:41;2;10
2022-09-22 12:03:03;4;17
2022-09-22 12:03:38;3;13
2022-09-22 12:03:51;3;13
2022-09-22 12:03:59;2;6
2022-09-22 12:04:04;3;12
2022-09-22 12:04:07;2;8
2022-09-22 12:04:15;2;7
2022-09-22 12:04:15;2;6
2022-09-22 12:04:26;3;11
2022-09-22 12:04:39;3;12
2022-09-22 12:04:50;3;11
2022-09-22 12:05:23;3;12
2022-09-22 12:05:32;3;12
2022-09-22 12:05:35;3;12
2022-09-22 12:06:29;2;6
2022-09-22 12:06:31;2;6
2022-09-22 12:06:42;2;7
2022-09-22 12:07:39;2;5
2022-09-22 12:07:53;3;11
2022-09-22 12:07:54;2;6
2022-09-22 12:08:00;2;6
2022-09-22 12:08:02;2;5
2022-09-22 12:08:09;2;7
2022-09-22 12:08:33;5;22
2022-09-22 12:09:24;2;7
2022-09-22 12:10:02;2;7
2022-09-22 12:10:12;2;7
2022-09-22 12:10:24;3;12
2022-09-22 12:10:50;6;26
2022-09-22 12:10:54;3;11
2022-09-22 12:11:01;2;5
2022-09-22 12:11:07;2;6
2022-09-22 12:11:12;2;6
2022-09-22 12:11:18;2;6
2022-09-22 12:13:55;2;7
2022-09-22 12:14:37;9;42
2022-09-22 12:14:45;2;7
2022-09-22 12:14:51;2;6
2022-09-22 12:16:29;2;6
2022-09-22 12:16:30;3;12
2022-09-22 12:16:36;2;7
2022-09-22 12:17:20;3;12
